"timestamp_pretty";"timestamp";"msgid";"targetType";"mmsi";"lat";"long";"posacc";"sog";"cog";"shipType";"dimBow";"draught";"dimPort";"dimStarboard";"dimStern";"month";"week";"imo";"country";"name";"callsign"
"01/04/2018 07:45:58";1522568758000;1;"A";205366000;54.50935;10.295328;1;0.6;268;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 03:10:54";1522552254000;3;"A";205689000;59.17385;17.664484;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 04:25:58";1522556758000;1;"A";205366000;54.566597;10.571716;1;15.9;244.4;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 00:29:02";1522542542000;1;"A";205723000;55.233234;14.165584;1;8.8;273.3;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 08:58:34";1522573114000;1;"A";205366000;54.391464;10.197227;1;10.2;190.7;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 00:53:04";1522543984000;1;"A";205723000;55.23625;14.062;1;9;272.3;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 10:31:56";1522578716000;3;"A";205723000;55.96865;12.7248;1;0.1;101;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 08:22:18";1522570938000;1;"A";205366000;54.495518;10.280401;1;4.6;239.6;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 06:24:32";1522563872000;3;"A";205489000;55.097866;14.687567;1;0;291;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 01:35:33";1522546533000;1;"A";205723000;55.239716;13.876095;1;9.2;271.2;"CARGO";5;6.1;7;7;84;4;13;9361330;"Belgium";"PAGADDER";"ONIZ"
"01/04/2018 10:42:31";1522579351000;3;"A";205489000;55.097916;14.687616;1;0;337;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 04:54:34";1522558474000;3;"A";205489000;55.09785;14.687734;1;0;331;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 06:39:27";1522564767000;1;"A";205366000;54.516186;10.316673;1;1;224.9;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 01:33:33";1522546413000;3;"A";205489000;55.097866;14.68755;1;0;329;"CARGO";61;4.4;5;6;14;4;13;8415184;"Belgium";"MARSCHENLAND";"ONES"
"01/04/2018 02:07:46";1522548466000;1;"A";205366000;54.48706;11.596969;1;16.2;298.1;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
"01/04/2018 02:28:54";1522549734000;3;"A";205689000;59.173965;17.6645;1;0;341;"CARGO";76;4.9;6;6;6;4;13;9345362;"Belgium";"FAST HERMAN";"ONIO"
"01/04/2018 07:27:58";1522567678000;1;"A";205366000;54.51028;10.300682;1;0.7;248.1;"TANKER";108;6.2;15;6;34;4;13;9045807;"Belgium";"TEMSE";"ONCC"
